Treatment,Cultivar,BioRep,MassperSeed_mg,DON,15ADON
Fg,Wheaton,2,10.29130435,107.3,3
Fg,Wheaton,2,12.80322581,32.6,0.85
Fg,Wheaton,2,2.846666667,416,3.5
Fg,Wheaton,2,6.5,211.9,3.1
Fg,Wheaton,2,10.17916667,124,4.8
Fg,Wheaton,2,12.04444444,73.1,3.3
Fg,Wheaton,2,8.78125,207.6,6.9
Fg,Wheaton,2,13.9825,55.5,2.9
Fg,Wheaton,2,10.37307692,63.2,2.1
Fg,Wheaton,3,18.3037037,15.3,0.71
Fg,Wheaton,3,23.952,9.7,0.38
Fg,Wheaton,3,13.64583333,64.3,2.4
Fg,Wheaton,3,14.50833333,53.3,2.7
Fg,Wheaton,3,15.09230769,47.3,2.3
Fg,Wheaton,3,10.91578947,142,9.3
Fg,Wheaton,3,12.37692308,59.8,2.3
Fg,Wheaton,3,10.996,80.8,4.1
Fg,Wheaton,1,7.735294118,47.6,1.2
Fg,Wheaton,1,8.308333333,7.6,0.38
Fg,Wheaton,1,8.035294118,84.5,3.1
Fg,Wheaton,1,6.976923077,51.8,1.6
Fg,Wheaton,1,9.846666667,32.2,0.7
Fg,Wheaton,1,10.93846154,27.9,1.5
Fg + 37,Wheaton,2,12.71428571,29,0.96
Fg + 37,Wheaton,2,22.4037037,0.6,0
Fg + 37,Wheaton,2,15.43529412,33.8,1.1
Fg + 37,Wheaton,2,12.09047619,66.6,1.4
Fg + 37,Wheaton,2,12.855,79.4,2.4
Fg + 37,Wheaton,2,11.54411765,71.1,2.8
Fg + 37,Wheaton,2,15.33571429,27.5,0.93
Fg + 37,Wheaton,3,29.24137931,0,0
Fg + 37,Wheaton,3,27.43333333,0,0
Fg + 37,Wheaton,3,27.66666667,0,0
Fg + 37,Wheaton,3,31.8625,0,0
Fg + 37,Wheaton,3,31.6625,0,0
Fg + 37,Wheaton,3,22.22857143,0,0
Fg + 37,Wheaton,3,18.15,na,na
Fg + 37,Wheaton,3,11.77857143,32.7,1.1
Fg + 37,Wheaton,3,12.325,35.3,1.4
Fg + 37,Wheaton,1,15.325,23.2,0.85
Fg + 37,Wheaton,1,14.18,27.4,1
Fg + 37,Wheaton,1,12.675,28.4,0.89
Fg + 37,Wheaton,1,12.10666667,23.8,0.76
Fg + 37,Wheaton,1,14.95714286,83.7,2.6
Fg + 37,Wheaton,1,20.18333333,0.84,0
Fg + 37,Wheaton,1,27.9,5.1,0.15
Fg + 37,Wheaton,1,10.5,9.1,0.3
Fg + 37,Wheaton,1,10.82,28.9,0.78
Fg + 40,Wheaton,2,20.10967742,6.3,2.7
Fg + 40,Wheaton,2,21.15806452,25,0.79
Fg + 40,Wheaton,2,21.32916667,23.3,0.96
Fg + 40,Wheaton,2,19.28181818,25.9,0.8
Fg + 40,Wheaton,2,14.77647059,50.6,1.5
Fg + 40,Wheaton,2,13.015,37.6,1.2
Fg + 40,Wheaton,2,14.744,67.6,2.5
Fg + 40,Wheaton,3,35.87333333,0,0
Fg + 40,Wheaton,3,29.21212121,1.5,0.08
Fg + 40,Wheaton,3,28.89545455,0,0
Fg + 40,Wheaton,3,27.49259259,0,0
Fg + 40,Wheaton,3,34.88518519,0,0
Fg + 40,Wheaton,3,17.68,16.5,0.66
Fg + 40,Wheaton,3,13.99565217,na,na
Fg + 40,Wheaton,3,29.64166667,0,0
Fg + 40,Wheaton,3,21.13478261,29.3,1.2
Fg + 40,Wheaton,1,10.24,29.2,1.3
Fg + 40,Wheaton,1,6.6125,65.3,2.2
Fg + 40,Wheaton,1,34.20833333,3.1,0.11
Fg + 40,Wheaton,1,22.05,1.4,0
Fg + 40,Wheaton,1,26.2,8,0.35
Fg + 40,Wheaton,1,25.88,7.3,0.2
Fg + 40,Wheaton,1,26.0375,0,0
Fg + 40,Wheaton,1,8.956521739,5.8,0.13
Fg + 70,Wheaton,2,29.81935484,0,0
Fg + 70,Wheaton,2,23.20833333,6.2,0.26
Fg + 70,Wheaton,2,9.634615385,91.1,3
Fg + 70,Wheaton,2,15.28571429,27.4,0.9
Fg + 70,Wheaton,2,14.9625,16.3,0.59
Fg + 70,Wheaton,2,14.604,29.8,0.96
Fg + 70,Wheaton,2,16.3,10.7,0.36
Fg + 70,Wheaton,3,15.976,0,0
Fg + 70,Wheaton,3,16.97241379,0,0
Fg + 70,Wheaton,3,17.97241379,0,0
Fg + 70,Wheaton,3,18.64285714,0,0
Fg + 70,Wheaton,3,12.86785714,18.2,0.76
Fg + 70,Wheaton,3,18.63333333,0,0
Fg + 70,Wheaton,3,19.98148148,0,0
Fg + 70,Wheaton,3,12.41724138,0,0
Fg + 70,Wheaton,3,26.36,0,0
Fg + 70,Wheaton,3,21.76666667,0.29,0
Fg + 70,Wheaton,1,15.4515,17.4,0.62
Fg + 70,Wheaton,1,15.04545455,37.7,1.4
Fg + 70,Wheaton,1,5.872727273,48.4,2.3
Fg + 70,Wheaton,1,11.52380952,38.8,1.6
Fg + 70,Wheaton,1,9.885714286,18,0.51
Fg + 70,Wheaton,1,12.66363636,42.9,1.5
Fg + 70,Wheaton,1,8.153846154,53.6,1.8
Fg + 70,Wheaton,1,17.77857143,22,0.7
NTC,Wheaton,2,23.68636364,0,0
NTC,Wheaton,2,27.45,0,0
NTC,Wheaton,2,25.79655172,0,0
NTC,Wheaton,2,24.69428571,0,0
NTC,Wheaton,2,51.4,na,na
NTC,Wheaton,2,30.12666667,0,0
NTC,Wheaton,2,30.7125,0,0
NTC,Wheaton,3,20.73783784,0,0
NTC,Wheaton,3,33.05806452,0,0
NTC,Wheaton,3,36.19090909,0,0
NTC,Wheaton,3,33.39565217,0,0
NTC,Wheaton,3,25.98148148,0,0
NTC,Wheaton,3,16.1,0,0
NTC,Wheaton,2,36.85555556,0,0
NTC,Wheaton,2,37.34230769,0,0
NTC,Wheaton,2,38.77272727,0,0
NTC,Wheaton,2,39.96666667,0,0
NTC,Wheaton,2,34.88333333,0,0
NTC,Wheaton,2,41.87,0,0
NTC,Wheaton,3,29.52,0,0
NTC,Wheaton,3,17.67878788,0,0
NTC,Wheaton,3,52.32631579,0,0
NTC,Wheaton,3,39.37666667,0,0
NTC,Wheaton,3,33.35769231,0,0
NTC,Wheaton,3,35.2375,0,0
NTC,Wheaton,3,12.38076923,0,0
NTC,Wheaton,3,39.04,0,0
NTC,Wheaton,1,29.62307692,0,0
NTC,Wheaton,1,38.6,0,0
NTC,Wheaton,1,29.5,0,0
NTC,Wheaton,1,22.73636364,0,0
NTC,Wheaton,1,26.70625,0,0
Fg + 37,Ambassador,1,39.15,0,0
Fg + 37,Ambassador,1,30.86923077,4.6,0.21
Fg + 37,Ambassador,1,38.01176471,3.2,0.07
Fg + 37,Ambassador,1,40.73,5.9,0.11
Fg + 37,Ambassador,1,8.685714286,54.1,1.2
Fg + 37,Ambassador,1,8.123529412,121.2,4.8
Fg + 37,Ambassador,1,30.34736842,9.2,0.23
Fg + 37,Ambassador,1,22.81,21.3,0.45
Fg + 37,Ambassador,1,16.45555556,16.8,0.3
Fg + 37,Ambassador,1,15.90555556,24.1,0.56
Fg + 37,Ambassador,1,19.375,27.8,0.64
Fg + 40,Ambassador,1,39.26875,7.4,0.16
Fg + 40,Ambassador,1,22.14117647,11.9,0.31
Fg + 40,Ambassador,1,9.066666667,48.9,1
Fg + 40,Ambassador,1,18.4125,15.2,0.31
Fg + 40,Ambassador,1,31.065,1.9,0.2
Fg + 40,Ambassador,1,41.2,3.1,0.12
Fg + 40,Ambassador,1,9.317647059,65.6,1.5
Fg + 40,Ambassador,1,33.72857143,4.4,0.18
Fg + 40,Ambassador,1,32.82380952,2.8,0.06
Fg + 40,Ambassador,1,35.37894737,0.63,na
Fg + 40,Ambassador,1,8.4375,69.7,3.9
Fg + 40,Ambassador,1,10.5625,79.1,4.1
Fg + 70,Ambassador,1,10.53529412,64.9,2.5
Fg + 70,Ambassador,1,17.79230769,8.5,0.23
Fg + 70,Ambassador,1,12.86666667,6.9,0.24
Fg + 70,Ambassador,1,33.87777778,1.2,na
Fg + 70,Ambassador,1,34.33888889,2.8,0.06
Fg + 70,Ambassador,1,21.18666667,8.3,0.27
Fg + 70,Ambassador,1,24.5,6.3,0.11
Fg + 70,Ambassador,1,19.54375,23.1,0.79
Fg + 70,Ambassador,1,11.82777778,44.7,1.3
Fg + 70,Ambassador,1,4.95,147.1,1.6
Fg + 70,Ambassador,1,22.93333333,6.6,0.2
Fg,Ambassador,1,7.961111111,174.4,6.2
Fg,Ambassador,1,3.816666667,45.2,1.5
Fg,Ambassador,1,3.025,21.6,1.9
Fg,Ambassador,1,7.385714286,183.2,5.7
Fg,Ambassador,1,7.79,61.3,1.6
Fg,Ambassador,1,22.48666667,11.8,0.53
Fg,Ambassador,1,37.96666667,4.1,0.25
Fg,Ambassador,1,9.025,113.3,3.5
Fg,Ambassador,1,9.722727273,80.7,2.2
Fg,Ambassador,1,11.25,82.4,2.5
Fg,Ambassador,1,14.16190476,52.8,1.7
NTC,Ambassador,1,32.644,0,0
NTC,Ambassador,1,43.36,0,0
NTC,Ambassador,1,39.13333333,0,0
NTC,Ambassador,1,36.96818182,0,0
NTC,Ambassador,1,34.83333333,0,0
NTC,Ambassador,1,36.91176471,0,0
NTC,Ambassador,1,25.02352941,0,0
NTC,Ambassador,1,31.60625,0,0
NTC,Ambassador,1,48.12352941,0,0
NTC,Ambassador,1,35.24117647,0,0
Fg + 37,Ambassador,2,13.06666667,56.2,1.8
Fg + 37,Ambassador,2,16.35,39.9,1.7
Fg + 37,Ambassador,2,29.06111111,12.2,0.32
Fg + 37,Ambassador,2,26.355,1.5,0.07
Fg + 37,Ambassador,2,39.68333333,2.2,0.05
Fg + 37,Ambassador,2,38.03,1.7,0.05
Fg + 37,Ambassador,2,14.55555556,21.2,0.41
Fg + 37,Ambassador,2,15.55909091,22.2,0.69
Fg + 37,Ambassador,2,38.39285714,4.1,0.14
Fg + 37,Ambassador,2,31.4,2.2,0.05
Fg + 37,Ambassador,2,25.46521739,10.2,0.26
Fg + 37,Ambassador,2,14.66875,27.5,0.77
Fg + 37,Ambassador,2,28.83333333,5.4,0.16
Fg + 37,Ambassador,2,11.2375,57.7,1.2
Fg + 37,Ambassador,2,29.3,5.6,0.12
Fg + 40,Ambassador,2,16.725,9.4,0.26
Fg + 40,Ambassador,2,20.84117647,13,0.48
Fg + 40,Ambassador,2,28.22105263,6.2,0.1
Fg + 40,Ambassador,2,17.63333333,25.4,0.57
Fg + 40,Ambassador,2,14.6,48,2.1
Fg + 40,Ambassador,2,17.875,31.6,0.89
Fg + 40,Ambassador,2,29.95909091,2.4,0.18
Fg + 40,Ambassador,2,20.94285714,24.9,0.57
Fg + 40,Ambassador,2,34.31052632,2,0.08
Fg + 40,Ambassador,2,31.27692308,7.5,0.37
Fg + 40,Ambassador,2,17.93636364,14.4,0.4
Fg + 40,Ambassador,2,24.04444444,17.3,0.52
Fg + 40,Ambassador,2,32.69333333,6.4,0.12
Fg + 40,Ambassador,2,12.075,2,0.05
Fg + 40,Ambassador,2,35.22727273,2.7,0.13
Fg + 40,Ambassador,2,29.5,6.9,0.08
Fg + 40,Ambassador,2,30.47333333,3.8,0.06
Fg + 40,Ambassador,2,26.525,9.6,0.16
Fg + 70,Ambassador,2,16.52631579,19.9,0.63
Fg + 70,Ambassador,2,14.13125,66.5,2.9
Fg + 70,Ambassador,2,22.32777778,12.5,0.34
Fg + 70,Ambassador,2,9.077777778,0.28,0
Fg + 70,Ambassador,2,11.87272727,69.8,2.1
Fg + 70,Ambassador,2,21.1,13.1,0.36
Fg + 70,Ambassador,2,34.66,6.2,0.12
Fg + 70,Ambassador,2,35.00714286,1.7,0.07
Fg + 70,Ambassador,2,20.736,na,na
Fg + 70,Ambassador,2,15.23703704,37.2,1.2
Fg + 70,Ambassador,2,16.85909091,11.3,0.66
Fg + 70,Ambassador,2,22.82333333,13.8,0.55
Fg,Ambassador,2,36.14285714,2.6,0.1
Fg,Ambassador,2,46.46153846,1.9,0.02
Fg,Ambassador,2,13.03181818,38.9,1.3
Fg,Ambassador,2,30.45714286,7.7,0.19
Fg,Ambassador,2,23.73,9.5,0.45
Fg,Ambassador,2,28.9,1.6,0.03
Fg,Ambassador,2,17.58,35.2,0.83
Fg,Ambassador,2,17.7,na,na
Fg,Ambassador,2,15.62727273,45.7,1.5
Fg,Ambassador,2,26.675,7.2,0.19
Fg,Ambassador,2,na,na,na
Fg,Ambassador,2,21.38666667,36.8,0.97
Fg,Ambassador,2,31.135,4.7,0.1
Fg,Ambassador,2,na,na,na
